apn_stripped,year,sold_date,certificate_number,tsi_tax_amount,tsi_tax_penalty,tsi_costs,tsi_fee,tsi_total_sold,extension_date,ssi_tax_amount,ssi_penalty,ssi_costs,ssi_back_tax_drainage,ssi_total,total_due,fips
0823430004,2022,10/31/2022,202200774,9634.02,505.79,104.00,90.50,10243.81,05/01/2024,10888.66,408.32,30.00,0.00,11326.98,23020.53,11723
0928301012,2022,10/31/2022,202200891,5466.74,164.00,104.00,90.50,5734.74,05/07/2025,0.00,0.00,0.00,0.00,0.00,5825.24,11723
0302200023,2022,10/31/2022,202200122,6924.66,363.54,104.00,90.22,7392.2,05/07/2025,0.00,0.00,0.00,0.00,0.00,8369.48,11723
0309378009,2022,10/31/2022,202200173,2329.16,122.28,104.00,90.22,2555.44,05/07/2025,0.00,0.00,0.00,0.00,0.00,2952.31,11723
0323360008,2022,10/31/2022,202200286,1850.04,97.13,104.00,90.22,2051.17,05/07/2025,0.00,0.00,0.00,0.00,0.00,2387.53,11723
0514451006,2022,10/31/2022,202200365,2650.02,139.13,104.00,90.22,2893.15,05/07/2025,0.00,0.00,0.00,0.00,0.00,3330.55,11723
0906353016,2022,10/31/2022,202200804,3266.40,171.49,104.00,90.22,3541.89,05/07/2025,0.00,0.00,0.00,0.00,0.00,4057.14,11723
1222161023,2022,10/31/2022,202201009,1464.98,76.91,104.00,90.22,1645.89,05/07/2025,0.00,0.00,0.00,0.00,0.00,1933.62,11723
0116200011,2022,10/31/2022,202200017,117.12,6.15,104.00,90.22,227.27,05/07/2025,0.00,0.00,0.00,0.00,0.00,317.49,11723
0910403005,2021,11/1/2021,202100798,5620.70,295.09,104.00,89.73,6019.79,05/07/2025,11679.28,437.97,60.00,0.00,12177.25,20456.72,11723
0927431007,2021,11/1/2021,202100838,3724.86,111.75,104.00,89.73,3940.61,10/31/2024,7522.70,282.10,30.00,0.00,7834.80,13745.49,11723
1514351037,2022,10/31/2022,202201230,178.02,9.35,104.00,90.22,291.37,10/31/2024,179.92,6.75,30.00,0.00,216.67,635.91,11723
1520478007,2021,11/1/2021,202101302,6018.38,315.97,104.00,89.73,6438.35,10/31/2024,6514.57,97.72,60.00,0.00,6672.29,14392.31,11723
1522229001,2022,10/31/2022,202201404,425.20,22.33,104.00,90.22,551.53,10/31/2024,0.00,0.00,0.00,0.00,0.00,652.78,11723
1523453056,2021,11/1/2021,202101412,2717.38,142.66,104.00,89.73,2964.04,10/31/2024,5710.76,214.16,60.00,0.00,5984.92,10114.05,11723
